reference,name,latitude,longitude,grid,locationDesc,attempts,activations,qsos,my_activations,my_hunted_qsos
US-0001,Acadia National Park,44.31,-68.2034,FN54vh,US-ME,563,497,17303,0,0
US-0002,Alagnak Wild River National Park,59.0908,-156.463,BO19sc,US-AK,0,0,0,0,0
US-0003,Aniakchak National Preserve,56.8075,-157.83,BO16ct,US-AK,0,0,0,0,0
US-0004,Arches National Park,38.6166,-109.62,DM58eo,US-UT,156,137,4891,0,1
US-0005,Badlands National Park,43.8555,-102.339,DN83tu,US-SD,210,197,6901,1,0
US-0006,Big Bend National Park,29.1287,-103.232,DL89jd,US-TX,289,239,10907,2,0
US-0007,Biscayne Bay National Park,25.4643,-80.3353,EL95tl,US-FL,183,172,5449,0,0
US-0008,Black Canyon of the Gunnison National Park,38.5762,-107.731,DM68dn,US-CO,82,80,2494,0,0
US-0009,Bryce Canyon National Park,37.5945,-112.159,DM37wo,US-UT,193,167,6384,0,0
US-0010,Canyonlands National Park,38.3301,-109.826,DM58ch,US-UT,121,106,3585,0,0
US-0011,Capitol Reef National Park,38.3712,-111.209,DM48ji,US-UT,87,66,1987,0,0
US-0012,Carlsbad Caverns National Park,32.1754,-104.444,DM72se,US-NM,106,96,2912,0,0
US-0013,Chaco Culture National Historical Park,36.053,-107.956,DM66ab,US-NM,28,25,996,0,0
US-0014,Channel Islands National Park,34.0026,-119.731,DM04da,US-CA,117,80,2606,0,0
US-0015,Chesapeake and Ohio Canal National Historical Park,39.6007,-77.8265,FM19co,"US-DC,US-MD,US-WV",589,578,17811,0,0
US-0016,Colonial National Historical Park,37.2305,-76.5025,FM17rf,US-VA,412,388,15889,0,2
US-0017,Congaree National Park,33.8432,-80.8289,EM93ou,US-SC,183,176,6173,0,0
US-0018,Crater Lake National Park,42.87,-122.144,CN82wu,US-OR,210,193,6318,0,0
US-0019,Cumberland Gap National Historical Park,36.6038,-83.6741,EM86do,"US-KY,US-TN,US-VA",182,180,6949,0,1
