Channel_Name,Channel_Type,Rx_Frequency,Tx_Frequency,Bandwidth_kHz,State,RX_Tone,TX_Tone,Latitude,Longitude,Special
WC8OH Dayton,Analogue,145.11,144.51,25,OH,67,67,39.71030045,-84.24410248,
WC8OH Columbus,Analogue,145.11,144.51,25,OH,,67,39.96120071,-82.99880219,
N8ZPS Kent,Analogue,145.11,144.51,25,OH,110.9,110.9,41.15739822,-81.36720276,
W8BRQ Mason,Analogue,145.13,144.53,25,OH,,123,39.36009979,-84.30989838,
N8SIW Polk,Analogue,145.13,144.53,25,OH,110.9,110.9,40.94449997,-82.2154007,
K8MRG Bellefonta,Analogue,145.13,144.53,25,OH,,,40.341321,-83.75968,
W8UKE Athens,Analogue,145.15,144.55,25,OH,,,39.355298,-82.09073049,
KB8EOC Bascom,Analogue,145.15,144.55,25,OH,107.2,107.2,41.13270187,-83.28209686,SKYWARN
W8UPD Akron,Analogue,145.17,144.57,25,OH,,123,41.0760994,-81.5114975,
W8SMK Delaware,Analogue,145.17,144.57,25,OH,,74.4,40.29869843,-83.06800079,
WD8LSN Peebles,Analogue,145.17,144.57,12.5,OH,77,77,38.934359,-83.451043,
K8MD Medina,Analogue,145.19,144.59,25,OH,110.9,110.9,41.146,-81.875,
N8DCA Delaware,Analogue,145.19,144.59,25,OH,,123,40.29869843,-83.06800079,
W8ESS Cincinnati,Analogue,145.19,144.59,25,OH,123,123,39.20001804,-84.52273234,
W8GBH Saint Clai,Analogue,145.21,144.61,25,OH,103.5,103.5,40.0780983,-80.89900208,
W8CCI Oxford,Analogue,145.21,144.61,25,OH,,118.8,39.50699997,-84.74520111,
N1TVI Mentor,Analogue,145.21,144.61,25,OH,110.9,110.9,41.70039703,-81.27074507,SKYWARN
KB8WQ Lithopolis,Analogue,145.21,144.61,25,OH,100,100,39.80279922,-82.8062973,
W8FW Troy,Analogue,145.23,144.63,25,OH,100,100,40.065766,-84.241389,SKYWARN
W8HF Elyria,Analogue,145.23,144.63,25,OH,110.9,110.9,41.36840057,-82.10769653,
WB8MMR Columbus,Analogue,145.23,144.63,25,OH,,,39.96120071,-82.99880219,
KE8BDF Coshocton,Analogue,145.23,144.63,25,OH,,71.9,40.27199936,-81.85959625,
K8KSW Hudson,Analogue,145.25,144.65,25,OH,,,41.24010086,-81.44069672,
KB8CWC Blanchest,Analogue,145.25,144.65,25,OH,,162.2,39.29309845,-83.98880005,
KB8SCR Coldwater,Analogue,145.25,144.65,25,OH,,107.2,40.47980118,-84.62830353,
W8NCK Fremont,Analogue,145.25,144.65,25,OH,186.2,186.2,41.35029984,-83.12190247,
W8WRC McDonald,Analogue,145.27,144.67,25,OH,110.9,110.9,41.131709,-80.728576,
KA8IWB Delaware,Analogue,145.29,144.69,25,OH,,123,40.29869843,-83.06800079,
N8NC Brunswick,Analogue,145.29,144.69,25,OH,,110.9,41.23809814,-81.84179688,
WB8ZVL Franklin,Analogue,145.29,144.69,25,OH,,118.8,39.55889893,-84.30410004,
W8BTO Parma,Analogue,145.31,144.71,25,OH,110.9,110.9,41.3837,-81.7338,
N8SIM Cincinnati,Analogue,145.31,144.71,25,OH,123,123,39.037,-84.263,
W8OG Springfield,Analogue,145.31,144.71,25,OH,82.5,82.5,39.92419815,-83.80879974,SKYWARN
N8XUA Ashtabula,Analogue,145.33,144.73,25,OH,103.5,103.5,41.880868,-80.794742,
W8NDB Mansfield,Analogue,145.33,144.73,25,OH,71.9,71.9,40.75839996,-82.51540375,
W8DYY Miamisburg,Analogue,145.33,144.73,25,OH,,,39.64279938,-84.28659821,SKYWARN
KC8CGR Clyde,Analogue,145.35,144.75,25,OH,110.9,110.9,41.30419922,-82.97519684,
N8IG Marysville,Analogue,145.35,144.75,25,OH,127.3,127.3,40.23649979,-83.36710358,
W8LKY Alliance,Analogue,145.37,144.77,25,OH,110.9,110.9,40.898323,-81.210349,
K8YOJ Cincinnati,Analogue,145.37,144.77,25,OH,123,123,39.27347253,-84.52703199,
KB8ZHP Ravenna,Analogue,145.39,144.79,25,OH,,,41.1576004,-81.24210358,
N8QA South Webst,Analogue,145.39,144.79,25,OH,,136.5,38.80569839,-82.72869873,
WC8VOA West Ches,Analogue,145.39,144.79,25,OH,,,39.3557,-84.35649,
KB8WLW Parma,Analogue,145.41,144.81,25,OH,,110.9,41.40480042,-81.72290039,
K8FBN Fairborn,Analogue,145.41,144.81,25,OH,118.8,118.8,39.82089996,-84.01940155,
N8RLD Archbold,Analogue,145.41,144.81,25,OH,107.2,107.2,41.48749924,-84.3030014,
WB8ART Centervil,Analogue,145.43,144.83,25,OH,88.5,88.5,39.6283989,-84.15940094,
N8PVC Columbus,Analogue,145.43,144.83,25,OH,123,123,39.96026471,-82.99772319,
W8ID Tiffin,Analogue,145.45,144.85,25,OH,107.2,107.2,41.11410141,-83.18099976,
WD8BIW Uniontown,Analogue,145.45,144.85,25,OH,,110.9,40.97510147,-81.40820313,
W8KKC Sciotovill,Analogue,145.45,144.85,25,OH,,114.8,38.75230026,-82.9367981,
K8YR Eaton,Analogue,145.47,144.87,25,OH,,100,39.7439003,-84.63659668,
W8CYE Springboro,Analogue,145.49,144.89,25,OH,77,123,39.568383,-84.164117,
KD8DRG Wadsworth,Analogue,145.49,144.89,25,OH,110.9,110.9,41.02560043,-81.72989655,
N8SCA Fremont,Analogue,145.49,144.89,25,OH,,107.2,41.35029984,-83.12190247,SKYWARN
K8ALB Toledo,Analogue,146.61,146.01,25,OH,103.5,103.5,41.66389847,-83.55519867,
W8SOE Willow Woo,Analogue,146.61,146.01,25,OH,,103.5,38.56110001,-82.46820068,
W8ZZV Philo,Analogue,146.61,146.01,25,OH,74.4,74.4,39.86119843,-81.90679932,
W8BLV Middletown,Analogue,146.61,146.01,25,OH,77,77,39.5163002,-84.3513031,
W8VMV Kenton,Analogue,146.625,146.025,25,OH,,85.4,40.64699936,-83.60959625,
WD8OCS Amherst,Analogue,146.625,146.025,25,OH,110.9,110.9,41.39780045,-82.22239685,SKYWARN
WB8DJP Akron,Analogue,146.64,146.04,25,OH,,110.9,41.08140182,-81.51899719,SKYWARN
K8MCA Dayton,Analogue,146.64,146.04,25,OH,,123,39.75889969,-84.19159698,SKYWARN
WB8WJT Barnesvil,Analogue,146.64,146.04,25,OH,100,100,39.98809814,-81.17649841,
WB8FPN Cadiz,Analogue,146.655,146.055,25,OH,,114.8,40.27280045,-80.99680328,
W8LBZ Sandusky,Analogue,146.655,146.055,25,OH,110.9,110.9,41.44889832,-82.70800018,
KF8YF Orwell,Analogue,146.655,146.055,25,OH,,,41.53509903,-80.86810303,
W8MLP Zaleski,Analogue,146.655,146.055,25,OH,88.5,88.5,39.28525,-82.40805556,
W8ZPF Columbus,Analogue,146.67,146.07,25,OH,131.8,131.8,40.0142,-82.9886,
KD8QGQ Millersbu,Analogue,146.67,146.07,25,OH,71.9,71.9,40.55450058,-81.91790009,
K8SCH Cincinnati,Analogue,146.67,146.07,25,OH,123,123,39.124526,-84.521518,
